,Alamat,Email,Kategori,Kode Kategori,Nama Perusahaan,Status Badan Usaha,Telp1,Telp2,Telp3,Website
5001,"KOTA BARU, KEC. BEKASI BARAT, KOTA BEKASI",,Aktivitas Jasa Lainnya,,PANGKAS RAMBUT (TANTO),None,1610-0080521 Ext: 11301,,,
5002,"KP TEGAL GOMBONG RT. 13/RW. 05, LINGGARSARI, KEC. PLERED, KAB. PURWAKARTA 41162",,Aktivitas Jasa Lainnya,,PAPUMAS,PT,,,,
5003,"JL TUPAREV NO 110 RT. 02/RW. 8, KARAWANG WETAN, KEC. KARAWANG TIMUR, KAB. KARAWANG 41314",,Aktivitas Jasa Lainnya,,PARKIR SHART (EKA YADI),None,0816287485,,,
5004,"JL MARGONDARAYA D'MALL LT G RT. 02/RW. 15, KEMIRIMUKA, KEC. BEJI, KOTA DEPOK 16423",,Aktivitas Jasa Lainnya,,PASSION LAUNDRY,None,085711802480,,,
5005,"RUKO BLOK KA NO 14 JL MERAWAN RT. 07/RW. 05, PANGKALANJATI, KEC. CINERE, KOTA DEPOK 16513",,Aktivitas Jasa Lainnya,,PAXI (ARMEN NOOR),None,021-2762197,,,
5006,"JL PASAR INDUK RT. 04/RW. 06, MEKAR MULYA, KEC. PANYILEUKAN, KOTA BANDUNG 40613",,Aktivitas Jasa Lainnya,,PD PASAR INDUK GEDE BAGE,None,,,,
5007,"JL RAYA PANGKALAN RT. 04/RW. 01, PANGKALAN, KEC. LOSARANG, KAB. INDRAMAYU 45253",pelangi.cakrawala@gmail.com,Aktivitas Jasa Lainnya,,PELANGI CAKRAWALA,PT,0234-505260,0234-505260,,
5008,"RUKO EASTON BLOK A NO 10/RW. 53, CIBATU, KEC. CIKARANG SELATAN, KAB. BEKASI",,Aktivitas Jasa Lainnya,,PELANGI IDODATA,PT,021-29093127,,,
5009,"BLOK S A B T U RT. 11/RW. 06, SINDANGKASIH, KEC. MAJALENGKA, KAB. MAJALENGKA 45411",,Aktivitas Jasa Lainnya,,PENGELOLAAN PARKIR KHUSUS (HERI SUDRAJAT),None,085295970800,,,
5010,"GRAND GALAXY PARK LT GF PARKIR MOTOR RT. 05/RW. 17, JAKA SETIA, KEC. BEKASI SELATAN, KOTA BEKASI 17147",,Aktivitas Jasa Lainnya,,PENITIPAN HELM,None,,,,
5011,"GRAND MALL BEKASI LT DASAR, JL JENDRAL SUDIRMAN RT. 02/RW. 04, HARAPAN MULYA, KEC. MEDAN SATRIA, KOTA BEKASI 17134",,Aktivitas Jasa Lainnya,,PENITIPAN HELM DAN PARKIRAN GRAND MALL,None,,,,
5012,"JL SURYA SUMANTRI 60 RT. 01/RW. 01, SUKAGALIH, KEC. SUKAJADI, KOTA BANDUNG 40163",,Aktivitas Jasa Lainnya,,PENTAREKA SELARAS,PT,022-877756343,,,invopemarem.com
5013,"JL KEBONPRING KIDUL RT. 01/RW. 13, ARJAWINANGUN, KEC. ARJAWINANGUN, KAB. CIREBON 45162",,Aktivitas Jasa Lainnya,,PENYALUR JASA TENAGA KERJA INDONESIA,None,,,,
5014,"KOMP GRIYA BUKIT MARS, CIBEUNYING, KEC. CIMENYAN, KAB. BANDUNG",,Aktivitas Jasa Lainnya,,PENYEDIAAN TENAGA KERJA,None,,,,
5015,"JL KOLONEL AHMAD SYAM NO 212 RT. 01/RW. 02, SAYANG, KEC. JATINANGOR, KAB. SUMEDANG 45363",,Aktivitas Jasa Lainnya,,PERINTIS PUTRA BANGSA,CV,022-7791546,,,
5016,"BLOK TUMARITIS RT. 01/RW. 06, DADAP, KEC. JUNTINYUAT, KAB. INDRAMAYU 45282",,Aktivitas Jasa Lainnya,,PERMAK LEVIS (ASMALI),None,087717717212,,,
5017,"KP CIJAGRA RT. 1/RW. 17, BOJONGSOANG, KEC. BOJONGSOANG, KAB. BANDUNG 40288",,Aktivitas Jasa Lainnya,,PERPARKIRAN PT SPI,None,08995779407,,,
5018,"JL TEUKU UMAR RT. 07/RW. 06, TELAGA ASIH, KEC. CIKARANG BARAT, KAB. BEKASI 17841",,Aktivitas Jasa Lainnya,,PERSEMIJA,PT,081348861996,,,
5019,"JL WR SUPRATMAN NO 84 RT. 05/RW. 11, CIHAURGEULIS, KEC. CIBEUNYING KALER, KOTA BANDUNG 40122",,Aktivitas Jasa Lainnya,,PESONA NATASHA GEMILANG,PT,0227-216734,,,www.natasha_skin
5020,"JL SURYAKENCANA NO 52 RUKO A DAN B RT. 07/RW. 07, CIKOLE, KEC. CIKOLE, KOTA SUKABUMI 43113",nsccsukabumi@yahoo.,Aktivitas Jasa Lainnya,,PESONA NATASHA GEMILANG,PT,0266-6250789,0266-6250789,,
5021,"JL BANGBARUNG RAYA NO 58 RT. 05/RW. 43, TEGALGUNDIL, KEC. BOGOR UTARA, KOTA BOGOR 16152",,Aktivitas Jasa Lainnya,,PESONA NATASHA GEMILANG,PT,0215-537220,0215-02518330520,,
5022,"PALASARI NO 9B RT. 09/RW. 02, LINGKAR SELATAN, KEC. LENGKONG, KOTA BANDUNG 40263",,Aktivitas Jasa Lainnya,,PESONA NATASHA,PT,022-7317753,,,www.natashaskin.com
5023,"JL MARGONDA NO 16 RT. 01/RW. 11, DEPOK, KEC. PANCORAN MAS, KOTA DEPOK 16431",,Aktivitas Jasa Lainnya,,PESONA TAMAN INDO,PT,021-7758816,,,
5024,"RUKO GRAND WISATA AA 05 NO 25, LAMBANGJAYA, KEC. TAMBUN SELATAN, KAB. BEKASI",pje_pt@yahoo.com,Aktivitas Jasa Lainnya,,PETRO JASA ENERGI,PT,021-8261552,,,
5025,"JL CAMAN NO 32 KP CIBENING RT. 04/RW. 01, JATIBENING, KEC. PONDOKGEDE, KOTA BEKASI 17412",petrolsind@yahoo.com,Aktivitas Jasa Lainnya,,PETRO LANCAR SAKTI,CV,021-84999662,021-84999657,,
5026,"JL ARJUNA NO 64 A RT. 01/RW. 08, ARJUNA, KEC. CICENDO, KOTA BANDUNG 40172",,Aktivitas Jasa Lainnya,,PILAR IMAJI ADIGRAHA,PT,,,,
5027,"RUKO SEGITIGAMAS KOSAMBI BLOK E 10-11 RT. 03/RW. 05, MERDEKA, KEC. SUMUR BANDUNG, KOTA BANDUNG 40113",,Aktivitas Jasa Lainnya,,PILAR SOLUSI DIGITAL,PT,022-7237025,,,
5028,"JL KENARI NO 14 RT. 04/RW. 04, SELABATU, KEC. CIKOLE, KOTA SUKABUMI 43114",,Aktivitas Jasa Lainnya,,PINISI RELAXATION,None,,,,
5029,"JL TKI 2 BLOK I NO 3 KBJ 7 PASAR SEGAR RT. 02/RW. 12, MARGAHAYU SELATAN, KEC. MARGAHAYU, KAB. BANDUNG 40226",,Aktivitas Jasa Lainnya,,PIXEL PERDANA JAYA,PT,087722602845,,,
5030,"BEKASI CYBER PARK LT GF C20 NO 1 RT. 01/RW. 12, KAYURINGIN JAYA, KEC. BEKASI SELATAN, KOTA BEKASI 17144",,Aktivitas Jasa Lainnya,,PLATINUM CELL,None,021-7111803,,,
5031,"RUKO CITRA GRAND BLOK CW 11 NO 16 RT. 04/RW. 11, JATIKARYA, KEC. JATISAMPURNA, KOTA BEKASI 17435",,Aktivitas Jasa Lainnya,,POETRESPA,PT,021-29066797,,,poetrespa.com
5032,"JL CIGADUNG RAYA BARAT RT. 06/RW. 03, CIGADUNG, KEC. CIBEUNYING KALER, KOTA BANDUNG 40191",,Aktivitas Jasa Lainnya,,POLIMER JASA,None,081312322359,,,
5033,"PARUNG TANJUNG RT. 01/RW. 12, CICADAS, KEC. GUNUNG PUTRI, KAB. BOGOR 16964",,Aktivitas Jasa Lainnya,,POLYTECH ROYAL UTAMA,PT,021-8677155,021-869756,,
5034,"JL SILIWANGI NO 52A RT. 01/RW. 13, BONDONGAN, KEC. BOGOR SELATAN, KOTA BOGOR 16131",,Aktivitas Jasa Lainnya,,POLYTRON SERVICE ELEKTRONIK,None,085778789012,,,
5035,"DSN PEDES 2 RT. 05/RW. 02, PAYUNGSARI, KEC. PEDES, KAB. KARAWANG 41353",,Aktivitas Jasa Lainnya,,POS GIRO,None,,,,
5036,"KP CIKEAS NAGRAK, JL LETDA NATSIR RT. 04/RW. 01, NAGRAK, KEC. GUNUNG PUTRI, KAB. BOGOR 16967",,Aktivitas Jasa Lainnya,,POS INDONESIA,PT,08128467182,,,
5037,"JL ACHMAD YANI NO 200 RT. 02/RW. 03, MALABAR, KEC. LENGKONG, KOTA BANDUNG 40262",,Aktivitas Jasa Lainnya,,POS INDONESIA,PT,08122021468,,,
5038,"GUNUNG PUTRI UTARA RT. 02/RW. 09, GUNUNG PUTRI, KEC. GUNUNG PUTRI, KAB. BOGOR 16961",,Aktivitas Jasa Lainnya,,PP TAI SEI INDONESIA CONSTRUCTION,PT,,,,
5039,"PASKAL HYPER SQUARE NO B6 RT. 04/RW. 04, KEBON JERUK, KEC. ANDIR, KOTA BANDUNG 40181",,Aktivitas Jasa Lainnya,,PRAKASA VISI VALUTAMA,PT,022-86060644,,,
5040,"JL JAKARTA KOMP PERMAI RT. 07/RW. 09, KACAPIRING, KEC. BATUNUNGGAL, KOTA BANDUNG 40271",,Aktivitas Jasa Lainnya,,PRAUD,PT,,,,
5041,"JL PUNGKUR NO 196 RT. 02/RW. 01, CIATEUL, KEC. REGOL, KOTA BANDUNG 40252",,Aktivitas Jasa Lainnya,,PREMIUM (BINTANG CENDRAWASIH LESTARI,PT,022-4203580,,,
5042,"JL GANDUL RAYA RT. 02/RW. 06, GANDUL, KEC. CINERE, KOTA DEPOK 16512",,Aktivitas Jasa Lainnya,,PRIMA REFLEKS I,None,0888221324,,,
5043,"CIPTA GRAHA PERMAI RT. 04/RW. 02, TENGAH, KEC. CIBINONG, KAB. BOGOR 16914",,Aktivitas Jasa Lainnya,,PRIMA SEJATI PERKASA,PT,0856816089,,,
5044,"JL MAYOR HASIBUAN RUKO SUNCITY SQUARE RT. 04/RW. 02, MARGA JAYA, KEC. BEKASI SELATAN, KOTA BEKASI 17141",,Aktivitas Jasa Lainnya,,PRIMALAYANAN CITRA MANDIRI,PT,0218-8863605,,,
5045,"JL SUKALAKSANA RT. 01/RW. 11, CICAHEUM, KEC. KIARACONDONG, KOTA BANDUNG 40282",,Aktivitas Jasa Lainnya,,PRIMAXINDO,PT,089666060034,,,
5046,"JL IR H JUANDA NO 368 RT. 09/RW. 06, DAGO, KEC. COBLONG, KOTA BANDUNG 40135",,Aktivitas Jasa Lainnya,,PRIWISTA RAYA,PT,022-2502616,,,
5047,"JL JAKARTA 28 RT. 07/RW. 04, KEBON WARU, KEC. BATUNUNGGAL, KOTA BANDUNG 40272",,Aktivitas Jasa Lainnya,,PROPELAT,PT,,,,
5048,"KP PARUNG SERAB RT. 03/RW. 05, TIRTAJAYA, KEC. SUKMA JAYA, KOTA DEPOK 16412",,Aktivitas Jasa Lainnya,,PROPERTI (RONI),None,08975251851,,,
5049,"JL CIPAMOKOLAN NO 18 RT. 01/RW. 05, CIPAMOKOLAN, KEC. RANCASARI, KOTA BANDUNG 40292",,Aktivitas Jasa Lainnya,,PROTON GUMILANG,None,0227-531887,,,
5050,"KOMP PEMDA RT. 05/RW. 11, JATIASIH, KEC. JATIASIH, KOTA BEKASI",,Aktivitas Jasa Lainnya,,PUHA INTERIOR,None,,,,
5051,"SUBANGJAYA, KEC. CIKOLE, KOTA SUKABUMI",,Aktivitas Jasa Lainnya,,PUNCAK MEGA ANGKASA,PT,,,,
5052,"DSN POPONCOL RT. 01/RW. 01, DAWUAN TENGAH, KEC. CIKAMPEK, KAB. KARAWANG 41373",,Aktivitas Jasa Lainnya,,PURNAMA SURYA CIPTA,PT,,,,
5053,"JL KESATRIA KP BABAKAN RT. 01/RW. 02, SATRIAJAYA, KEC. TAMBUN UTARA, KAB. BEKASI 17566",,Aktivitas Jasa Lainnya,,PURNAMAN JAYA,PT,,,,
5054,"JL JEND AHMAD YANI KAV 1 LT 1 , PEKAYON JAYA, KEC. BEKASI SELATAN, KOTA BEKASI 17148",,Aktivitas Jasa Lainnya,,PUSAT MESIN LAUNDRY .COM,None,,,,
5055,"DSN CIRANGGON 03 RT. 11/RW. 03, CIRANGGON, KEC. MAJALAYA, KAB. KARAWANG 41355",,Aktivitas Jasa Lainnya,,PUSPITA EMAS,PT,081311188460,,,
5056,"022-1 JL PASIRKALIKI NO 121-123 RT. 11/RW. 05, PAMOYANAN, KEC. CICENDO, KOTA BANDUNG 40173",finance.stopngo@gmail.com,Aktivitas Jasa Lainnya,,PUTRA AMAYA ABADI,PT,,,,www.stopngo.co.id
5057,"DSN CIRANGGON I RT. 01/RW. 01, CIRANGGON, KEC. MAJALAYA, KAB. KARAWANG 41355",yogisuparman@gmail,Aktivitas Jasa Lainnya,,PUTRA FIDRA,CV,0267-8620186,,,
5058,"JL JABABEKA XII, HARJAMEKAR, KEC. CIKARANG UTARA, KAB. BEKASI",,Aktivitas Jasa Lainnya,,PUTRA MAKMUR,PT,,,,
5059,"JL SETU GOLF RT. 05/RW. 06, SUKAMAJU BARU, KEC. TAPOS, KOTA DEPOK 16462",,Aktivitas Jasa Lainnya,,PUTRA MANGGALA,PT,081331388871,,,
5060,"GD GIANT, JL PADJAJARAN RT. 02/RW. 11, BARANANGSIANG, KEC. BOGOR TIMUR, KOTA BOGOR 16143",,Aktivitas Jasa Lainnya,,PUTRA MAYA ABADI PT STOP NGO,None,,,,
5061,"JL TIPAR GANA PENDAWA RT. 02/RW. 06, TIPAR, KEC. CITAMIANG, KOTA SUKABUMI 43141",putracakrabuana@yahoo.com,Aktivitas Jasa Lainnya,,PUTRAISAKRA BUANA,PT,081911911999,,,
5062,"JL PEJUANG 45 NO 33 RT. 48/RW. 13, KARANGANYAR, KEC. SUBANG, KAB. SUBANG 41211",,Aktivitas Jasa Lainnya,,PUTRI COMPUTER,PT,,,,
5063,"JL UTAMA DUREN JAYA D 621 RT. 02/RW. 09, DUREN JAYA, KEC. BEKASI TIMUR, KOTA BEKASI 17111",ratupuzi76@gmail.com,Aktivitas Jasa Lainnya,,PUZZI ABADI,PT,021-22012666,,,
5064,"PUTERACO GADING REGENCY BLOK B-11 N0 21 RT. 00/RW. 08, CISARANTEN ENDAH, KEC. ARCAMANIK, KOTA BANDUNG 40292",,Aktivitas Jasa Lainnya,,QSINDO SKALA INTI PERSADA,PT,022-7309716,022-7309716,,
5065,"JL PAJAJARAN NOMOR 1 BLOK YL BOGOR RT. 03/RW. 01, SUKASARI, KEC. BOGOR TIMUR, KOTA BOGOR 16142",,Aktivitas Jasa Lainnya,,QTARA SALON,None,0251-8319183,,,
5066,"JL BATU NUNGGAL INDAH 2 RT. 01/RW. 05, MENGGER, KEC. BANDUNG KIDUL, KOTA BANDUNG 40267",,Aktivitas Jasa Lainnya,,RAD UTAMA RISET,PT,022-87304649,,,
5067,"JL PANCASILA V KP PARUNG TANJUNG RT. 04/RW. 13, CICADAS, KEC. GUNUNG PUTRI, KAB. BOGOR 16964",,Aktivitas Jasa Lainnya,,RADISARANA TEXPRO,PT,,,,
5068,"JL KHZ MUSTOFA RT. 02/RW. 05, KAHURIPAN, KEC. TAWANG, KOTA TASIKMALAYA 46115",,Aktivitas Jasa Lainnya,,RAFA,None,0265-337648,,,
5069,"JL RANGGA KENCANA NO 72, CIBADUYUT, KEC. BOJONGLOA KIDUL, KOTA BANDUNG",,Aktivitas Jasa Lainnya,,RAFA INFINITI,None,022-5223559,,,
5070,"JL CILIWUNG NO 4 RT. 02/RW. 03, CIHAPIT, KEC. BANDUNG WETAN, KOTA BANDUNG 40114",,Aktivitas Jasa Lainnya,,RAFINDO ANUGRAH SUKSES,PT,,,,
5071,"KP TIPAR RT. 03/RW. 09, MEKARSARI, KEC. CIMANGGIS, KOTA DEPOK 16452",,Aktivitas Jasa Lainnya,,RAKA,PT,,,,
5072,"JL LIMO RAYA RT. 01/RW. 05, LIMO, KEC. LIMO, KOTA DEPOK 16531",,Aktivitas Jasa Lainnya,,RAPHITA PACILITI SERVICE SPECIAL,PT,021-7533981,,,
5073,"RUKO KRANGGAN PERMAI RT. 02/RW. 16, JATISAMPURNA, KEC. JATISAMPURNA, KOTA BEKASI 17433",admin@rasindo.co.id,Aktivitas Jasa Lainnya,,RASINDO TATA LAKSANA,PT,021-84591982,021-89311923,,
5074,"erzanahetrefasrindo JL GAS ALAM RT. 03/RW. 06, CURUG, KEC. CIMANGGIS, KOTA DEPOK 16453",,Aktivitas Jasa Lainnya,,REFAST INDONESIA,PT,021-8743234,,,
5075,"PERUMAHAN VILLA NOVO BLOK B 1 9 NO RT. 04/RW. 15, DEPOK, KEC. PANCORAN MAS, KOTA DEPOK 16411",,Aktivitas Jasa Lainnya,,REI KONSULTING (BAPAK RIDON),None,0217-733885,,,
5076,"KP CIKUMPA RT. 04/RW. 08, SUKMAJAYA, KEC. SUKMA JAYA, KOTA DEPOK 16412",rekaciptakreasindo.pt@gmail.com,Aktivitas Jasa Lainnya,,REKA CIPTA KREASINDO,PT,021-77822499,,,
5077,"JL MATRAMAN NO 4 RT. 07/RW. 10, TURANGGA, KEC. LENGKONG, KOTA BANDUNG 40264",rudy@rembio.com,Aktivitas Jasa Lainnya,,REKABIO,None,,,,
5078,"JL KARANG SATRIA KP CEREWED RT. 03/RW. 07, DUREN JAYA, KEC. BEKASI TIMUR, KOTA BEKASI 17111",,Aktivitas Jasa Lainnya,,REKAN USAHA MIKRO ANDA,PT,,,,
5079,"LT 4 BTM RT. 01/RW. 13, PALEDANG, KEC. BOGOR TENGAH, KOTA BOGOR 16122",,Aktivitas Jasa Lainnya,,RELAXOLOGY,None,,,,
5080,"RUKO SINDANG BARANG GRANDE NO 17 RT. 06/RW. 03, SINDANGBARANG, KEC. BOGOR BARAT, KOTA BOGOR 16117",,Aktivitas Jasa Lainnya,,RENGGANIS SALON,None,0251-8421128,,,
5081,"PLAZA INDAH BOGOR RT. 07/RW. 07, KEDUNGBADAK, KEC. TANAH SEREAL, KOTA BOGOR 16164",,Aktivitas Jasa Lainnya,,RENGGANIS SALON,None,,,,
5082,"JL ARZIMAR III RT. 02/RW. 03, TEGALGUNDIL, KEC. BOGOR UTARA, KOTA BOGOR 16152",,Aktivitas Jasa Lainnya,,RENGGANIS,CV,,,,
5083,"JL ACHMAD SOBANA RT. 03/RW. 10, TEGALGUNDIL, KEC. BOGOR UTARA, KOTA BOGOR 16152",rengganisaloma@yahoo.com,Aktivitas Jasa Lainnya,,RENGGANIS,PT,0251-8373790,,,
5084,"JL KOPO 66 BAPA SANI RT. 03/RW. 08, KOPO, KEC. BOJONGLOA KALER, KOTA BANDUNG 40233",,Aktivitas Jasa Lainnya,,REPARASI KURSI (YAYAN),None,,,,
5085,"JL JENDRAL SUDIRMAN RT. 01/RW. 15, KRANJI, KEC. BEKASI BARAT, KOTA BEKASI 17135",,Aktivitas Jasa Lainnya,,RESKA STASIUN KRANJI (ISMAIL),None,085695412376,,,
5086,"PLAZA JAMBU 2 LT SEMI DASAR RT. 02/RW. 05, BANTARJATI, KEC. BOGOR UTARA, KOTA BOGOR 16153",,Aktivitas Jasa Lainnya,,RETRA KOMPUTER,None,085781500444,,,
5087,"MALL KARAWANG CENTRAL PLAZA LT C 11 RT. 02/RW. 03, SUKAHARJA, KEC. TELUKJAMBE TIMUR, KAB. KARAWANG 41361",,Aktivitas Jasa Lainnya,,RH SALON,None,,,,
5088,"KP LEUWILIANG RT. 01/RW. 15, CIBODAS, KEC. PASIRJAMBU, KAB. BANDUNG 40975",,Aktivitas Jasa Lainnya,,RIAS PENGANTIN,None,085862807606,,,
5089,"KOTA BARU, KEC. BEKASI BARAT, KOTA BEKASI",,Aktivitas Jasa Lainnya,,RIAS PENGANTIN (NURNAFI'AH),None,1-10012202222622 Ext: 17,1-10012202222622,,
5090,"JL KH MUCHTAR THABRANI KA NANGKA RT. 01/RW. 04, PERWIRA, KEC. BEKASI UTARA, KOTA BEKASI 17122",,Aktivitas Jasa Lainnya,,RIAS PENGANTIN (YATI),None,081511842714,,,
5091,"JL TANJUNG III NO 109 RT. 06/RW. 14, KARANG TENGAH, KEC. GUNUNG PUYUH, KOTA SUKABUMI 43124",ribakdamaipersada@gmail.com,Aktivitas Jasa Lainnya,,RIBAK DAMAI PERSADA,PT,085704032123,,,
5092,"PASAR MODERN GRAND WISATA RT. 11, LAMBANGSARI, KEC. TAMBUN SELATAN, KAB. BEKASI 17510",avalia.su@email.rom,Aktivitas Jasa Lainnya,,RIVALIA SINERGI,PT,021-29080110,,,
5093,"DSN PON RT. 15/RW. 05, KONDANGSARI, KEC. BEBER, KAB. CIREBON 45172",,Aktivitas Jasa Lainnya,,RONA GEMILANG,PT,081222070731,,,
5094,"JL KEMAKMURAN RAYA NO 51 C- D RT. 01/RW. 05, MEKAR JAYA, KEC. SUKMA JAYA, KOTA DEPOK 16411",,Aktivitas Jasa Lainnya,,ROYAL GARDEN,None,083807685115,,,www.royalgardenspa.co.id
5095,"RUKO ASTER BLOK C 33 BOULEVARD RAYA RT. 06/RW. 04, TIRTAJAYA, KEC. SUKMA JAYA, KOTA DEPOK 16412",,Aktivitas Jasa Lainnya,,ROYAL GARDEN FAMILT SPA REFLEXOLOGY,PT,021-29511235,,,
5096,"JL MERDEKA RT. 03/RW. 05, CIWARINGIN, KEC. BOGOR TENGAH, KOTA BOGOR 16124",,Aktivitas Jasa Lainnya,,ROYAL GARDEN FAMILY SPA DAN REFLEXOLOGY,None,085776336977,,,www.royalgarden.co.id
5097,"JL SILIWANGI 123 LIPPO PLAZA RT. 07/RW. 01, SUKASARI, KEC. BOGOR TIMUR, KOTA BOGOR 16142",,Aktivitas Jasa Lainnya,,RUDY HADISUWARNO,None,081317288211,,,
5098,"JL IR H JUANDA NO 170 RT. 03/RW. 11, LEBAK GEDE, KEC. COBLONG, KOTA BANDUNG 40132",,Aktivitas Jasa Lainnya,,RUKUM MAKMUR BERSAMA,PT,022-2532110,,,
5099,"GEMPOL WETAN 50 RT. 06/RW. 05, CITARUM, KEC. BANDUNG WETAN, KOTA BANDUNG 40115",,Aktivitas Jasa Lainnya,,RUMAH JAHIT FERDY,None,0811237363,,,
5100,"JL JEND AHMAD YANI KAV 1 UG-CT-353, PEKAYON JAYA, KEC. BEKASI SELATAN, KOTA BEKASI 17148",,Aktivitas Jasa Lainnya,,RUMAH SEHAT PARAHYANGAN,None,,,,
5101,"BABELAN RT. 20/RW. 01, BABELAN KOTA, KEC. BABELAN, KAB. BEKASI 17611",,Aktivitas Jasa Lainnya,,RUMAH TERAPY (FITRI),None,,,,
5102,"BLOK 02 RT. 08/RW. 03, PABUARAN KIDUL, KEC. PABUARAN, KAB. CIREBON 48196",,Aktivitas Jasa Lainnya,,SABLON,None,,,,
5103,"JL NEMAH JAYA NO 99 RT. 06/RW. 18, PENGASINAN, KEC. RAWALUMBU, KOTA BEKASI 17115",,Aktivitas Jasa Lainnya,,SAESAR PRARAMA CV,None,021-82426313,021-8202449,,
5104,"JL GUNTUR KP AL IKHLAS RT. 05/RW. 02, KOTAWETAN, KEC. GARUT KOTA, KAB. GARUT 44111",,Aktivitas Jasa Lainnya,,SAJIRA MAHARDIKA,PT,,,,
5105,"BUMI NASIO INDAH, JL APEL I BIOK AC NO 2 RT. 01/RW. 16, JATIMEKAR, KEC. JATIASIH, KOTA BEKASI 17422",,Aktivitas Jasa Lainnya,,SALON (ANI),None,081385368617,,,
5106,"JL CIBANGKONG RT. 02/RW. 03, CIBANGKONG, KEC. BATUNUNGGAL, KOTA BANDUNG 40273",,Aktivitas Jasa Lainnya,,SALON (DIAH),None,08179227378,,,
5107,"JL CIKAMPEK 7 NOI RT. 03/RW. 06, ANTAPANI TENGAH, KEC. ANTAPANI, KOTA BANDUNG 40261",,Aktivitas Jasa Lainnya,,SALON (DJINURUNG),None,,,,
5108,"JL CITARUM NO 16 RT. 01/RW. 02, CIHAPIT, KEC. BANDUNG WETAN, KOTA BANDUNG 40114",,Aktivitas Jasa Lainnya,,SALON AMADEA,None,,,,
5109,"RUKO CITYWACK 2 NO 10 RT. 01/RW. 11, JATIKARYA, KEC. JATISAMPURNA, KOTA BEKASI 17615",,Aktivitas Jasa Lainnya,,SALON AQUIRA ARI,None,021-84303667,,,
5110,"MALL METROPOLITANT LT 2 RT. 07/RW. 03, PEKAYON JAYA, KEC. BEKASI SELATAN, KOTA BEKASI 17148",,Aktivitas Jasa Lainnya,,SALON BHONNY ANDREAN,None,0218-848546,,,
5111,"JL RAYA DUTA PELNI CISALAK RT. 01/RW. 10, CISALAK, KEC. SUKMA JAYA, KOTA DEPOK 16416",,Aktivitas Jasa Lainnya,,SALON CANTIK (SUSI),None,,,,
5112,"JL PAJAJARAN BOTANI SQUARE RT. 02/RW. 05, TEGALLEGA, KEC. BOGOR TENGAH, KOTA BOGOR 16127",,Aktivitas Jasa Lainnya,,SALON CHIRTOPER,None,0251-8400677,,,
5113,"JL JATIWARINGIN RT. 03/RW. 03, JATIWARINGIN, KEC. PONDOKGEDE, KOTA BEKASI 17411",,Aktivitas Jasa Lainnya,,SALON CHRISTIE (IRMA),None,021-8473587,,,
5114,"KARANG SALAM RT. 01/RW. 01, PANANJUNG, KEC. PANGANDARAN, KAB. PANGANDARAN 46596",,Aktivitas Jasa Lainnya,,SALON D'SADOW (CICIH),None,085353149869,,,
5115,"JL SILIWANGI RT. 30/RW. 05, NAGERI TENGAH, KEC. PURWAKARTA, KAB. PURWAKARTA 41114",,Aktivitas Jasa Lainnya,,SALON EVI,None,,,,
5116,"JL MERDEKA NO 56 BANDUNG BIP RT. 01/RW. 01, CITARUM, KEC. BANDUNG WETAN, KOTA BANDUNG 40115",,Aktivitas Jasa Lainnya,,SALON JOHNNY ANDREAN,None,022-4208686,,,
5117,"JL PASIRKALIKI NO 121-123 RT. 11/RW. 05, PAMOYANAN, KEC. CICENDO, KOTA BANDUNG 40173",,Aktivitas Jasa Lainnya,,SALON JOHNNY ANDREAN,None,022-6014619,,,
5118,"METROPOLITAN MAL LT 1 UNIT 15-16 RT. 07/RW. 03, PEKAYON JAYA, KEC. BEKASI SELATAN, KOTA BEKASI 17148",,Aktivitas Jasa Lainnya,,SALON PETER F SAERANG,None,0218-848572,,,
5119,"DSN CIPAKU RT. 01/RW. 18, PAKUTANDANG, KEC. CIPARAY, KAB. BANDUNG 40381",,Aktivitas Jasa Lainnya,,SALON RAMBUT (SRI),None,081266442508,,,
5120,"GADING REGENCY RT. 05/RW. 08, CISARANTEN ENDAH, KEC. ARCAMANIK, KOTA BANDUNG 40292",,Aktivitas Jasa Lainnya,,SALON RATNA,None,,,,
5121,"JL YOS SUDARSO NO 99 RT. 04/RW. 15, CIAMIS, KEC. CIAMIS, KAB. CIAMIS 46211",,Aktivitas Jasa Lainnya,,SALON RUDI,None,,,,
5122,"NEGLASARI RT. 01/RW. 08, CIBULUH, KEC. BOGOR UTARA, KOTA BOGOR 16151",,Aktivitas Jasa Lainnya,,SALON WANITA (RENGGANIS),None,,,,
5123,"JL JEND AHMAD YANI KAV 1 LT LG , PEKAYON JAYA, KEC. BEKASI SELATAN, KOTA BEKASI 17148",,Aktivitas Jasa Lainnya,,SALON YOPIE,None,,,,
5124,"LGF ASIA PLAZA RT. 01/RW. 06, TUGUJAYA, KEC. CIHIDEUNG, KOTA TASIKMALAYA 46126",,Aktivitas Jasa Lainnya,,SALON YOPIE,None,0265-2352235,,,
5125,"RUKO VILLA PEKAYON BLOK B/45 RUKO VUAPEKAYON BWK B/45 RT. 04/RW. 22, PEKAYON JAYA, KEC. BEKASI SELATAN, KOTA BEKASI 17140",opemsional@smade.co.11,Aktivitas Jasa Lainnya,,SAMADIA,PT,0218-271019,0218-2405011,,
